% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
31.001	1	1	1	5324.57	0
31.041	1	1	1	5324.57	0
31.081	1	1	1	5324.57	0
31.121	1	1	1	5324.57	0
31.161	1	1	1	5324.57	0
31.201	1	1	1	5324.57	0
31.241	1	1	1	5324.57	0
31.281	1	1	1	5324.57	0
31.321	1	1	1	5324.57	0
31.361	1	1	1	5324.57	0
31.401	1	1	1	5324.57	0
31.441	1	1	1	5324.57	0
31.481	1	1	1	5324.57	0
31.521	1	1	1	5324.57	0
31.561	1	1	1	5324.57	0
31.601	1	1	1	5324.57	0
31.641	1	1	1	5324.57	0
31.681	1	1	1	5324.57	0
31.721	1	1	1	5324.57	0
31.761	1	1	1	5324.57	0
31.801	1	1	1	5324.57	0
31.841	1	1	1	5324.57	0
31.881	1	1	1	5324.57	0
31.921	1	1	1	5324.57	0
31.961	1	1	1	5324.57	0
32.001	1	1	1	5324.57	0
32.041	1	1	1	5324.57	0
32.081	1	1	1	5324.57	0
32.121	1	1	1	5324.57	0
32.161	1	1	1	5324.57	0
32.201	1	1	1	5324.57	0
32.241	1	1	1	5324.57	0
32.281	1	1	1	5324.57	0
32.321	1	1	1	5324.57	0
32.361	1	1	1	5324.57	0
32.401	1	1	1	5324.57	0
32.441	1	1	1	5324.57	0
32.481	1	1	1	5324.57	0
32.521	1	1	1	5324.57	0
32.561	1	1	1	5324.57	0
32.601	1	1	1	5324.57	0
32.641	1	1	1	5324.57	0
32.681	1	1	1	5324.57	0
32.721	1	1	1	5324.57	0
32.761	1	1	1	5324.57	0
32.801	1	1	1	5324.57	0
32.841	1	1	1	5324.57	0
32.881	1	1	1	5324.57	0
32.921	1	1	1	5324.57	0
32.961	1	1	1	5324.57	0
33.001	1	1	1	5324.57	0
33.041	1	1	1	5324.57	0
33.081	1	1	1	5324.57	0
33.121	1	1	1	5324.57	0
33.161	1	1	1	5324.57	0
33.201	1	1	1	5324.57	0
33.241	1	1	1	5324.57	0
33.281	1	1	1	5324.57	0
33.321	1	1	1	5324.57	0
33.361	1	1	1	5324.57	0
33.401	1	1	1	5324.57	0
33.441	1	1	1	5324.57	0
33.481	1	1	1	5324.57	0
33.521	1	1	1	5324.57	0
33.561	1	1	1	5324.57	0
33.601	1	1	1	5324.57	0
33.641	1	1	1	5324.57	0
33.681	1	1	1	5324.57	0
33.721	1	1	1	5324.57	0
33.761	1	1	1	5324.57	0
33.801	1	1	1	5324.57	0
33.841	1	1	1	5324.57	0
33.881	1	1	1	5324.57	0
33.921	1	1	1	5324.57	0
33.961	1	1	1	5324.57	0
34.001	1	1	1	5324.57	0
34.041	1	1	1	5324.57	0
34.081	1	1	1	5324.57	0
34.121	1	1	1	5324.57	0
34.161	1	1	1	5324.57	0
34.201	1	1	1	5324.57	0
34.241	1	1	1	5324.57	0
34.281	1	1	1	5324.57	0
34.321	1	1	1	5324.57	0
34.361	1	1	1	5324.57	0
34.401	1	1	1	5324.57	0
34.441	1	1	1	5324.57	0
34.481	1	1	1	5324.57	0
34.521	1	1	1	5324.57	0
34.561	1	1	1	5324.57	0
34.601	1	1	1	5324.57	0
34.641	1	1	1	5324.57	0
34.681	1	1	1	5324.57	0
34.721	1	1	1	5324.57	0
34.761	1	1	1	5324.57	0
34.801	1	1	1	5324.57	0
34.841	1	1	1	5324.57	0
34.881	1	1	1	5324.57	0
34.921	1	1	1	5324.57	0
34.961	1	1	1	5324.57	0
35.001	1	1	1	5324.57	0
35.041	1	1	1	5324.57	0
35.081	1	1	1	5324.57	0
35.121	1	1	1	5324.57	0
35.161	1	1	1	5324.57	0
35.201	1	1	1	5324.57	0
35.241	1	1	1	5324.57	0
