% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	25690.5	0
0.081	1	1	1	6404.77	0
0.121	1	1	1	9548.68	0
0.161	1	1	1	9681.49	0
0.201	1	1	1	7451.48	0
0.241	1	1	1	6342.85	0
0.281	1	1	1	15381.8	0
0.321	1	1	1	21416.6	0
0.361	1	1	1	6045.81	0
0.401	1	1	1	12542.8	0
0.441	1	1	1	10959.5	0
0.481	1	1	1	7065.59	0
0.521	1	1	1	2401.39	0
0.561	1	1	1	803.386	0
0.601	1	1	1	18557.6	0
0.641	1	1	1	17044.5	0
0.681	1	1	1	2557.97	0
0.721	1	1	1	15374.9	0
0.761	1	1	1	13745.1	0
0.801	1	1	1	9933.11	0
0.841	1	1	1	5582.46	0
0.881	1	1	1	3044.08	0
0.921	1	1	1	2583.64	0
0.961	1	1	1	1582.65	0
1.001	1	1	1	4572.78	0
1.041	1	1	1	2724.59	0
1.081	1	1	1	5530.44	0
1.121	1	1	1	7862.86	0
1.161	1	1	1	3888.29	0
1.201	1	1	1	8581.62	0
1.241	1	1	1	10318.3	0
1.281	1	1	1	11733.6	0
1.321	1	1	1	13044.9	0
1.361	1	1	1	5200.12	0
1.401	1	1	1	19517.6	0
1.441	1	1	1	28903.4	0
1.481	1	1	1	4172.5	0
1.521	1	1	1	1736.33	0
1.561	1	1	1	2713.21	0
1.601	1	1	1	2895.23	0
1.641	1	1	1	25084.5	0
1.681	1	1	1	4412.01	0
1.721	1	1	1	2703.57	0
1.761	1	1	1	5876.21	0
1.801	1	1	1	1579.22	0
1.841	1	1	1	6067.55	0
1.881	1	1	1	4520.8	0
1.921	1	1	1	2353.19	0
1.961	1	1	1	4819.44	0
2.001	1	1	1	6927.25	0
2.041	1	1	1	2770.71	0
2.081	1	1	1	5406.55	0
2.121	1	1	1	8747.88	0
2.161	1	1	1	7581.02	0
2.201	1	1	1	49246.9	0
2.241	1	1	1	17810.1	0
2.281	1	1	1	2555.39	0
2.321	1	1	1	16981.4	0
2.361	1	1	1	8357.13	0
2.401	1	1	1	2469.47	0
2.441	1	1	1	7922.02	0
2.481	1	1	1	10845	0
2.521	1	1	1	21803.3	0
2.561	1	1	1	17433.7	0
2.601	1	1	1	6701.08	0
2.641	1	1	1	7092.11	0
2.681	1	1	1	2584.14	0
2.721	1	1	1	4493.33	0
2.761	1	1	1	7096.18	0
2.801	1	1	1	2534.1	0
2.841	1	1	1	5254.94	0
2.881	1	1	1	7613.29	0
2.921	1	1	1	15557.8	0
2.961	1	1	1	5410.97	0
3.001	1	1	1	2502.82	0
3.041	1	1	1	314.837	0
3.081	1	1	1	3582.03	0
3.121	1	1	1	5004.98	0
3.161	1	1	1	5366.47	0
3.201	1	1	1	8582.86	0
3.241	1	1	1	2582.68	0
3.281	1	1	1	23447.7	0
3.321	1	1	1	31210.2	0
3.361	1	1	1	1797.62	0
3.401	1	1	1	3365.9	0
3.441	1	1	1	5289.44	0
3.481	1	1	1	3153.78	0
3.521	1	1	1	9716.14	0
3.561	1	1	1	2980.74	0
3.601	1	1	1	16128	0
3.641	1	1	1	15283.5	0
3.681	1	1	1	6508.71	0
3.721	1	1	1	3320.56	0
3.761	1	1	1	3780.49	0
3.801	1	1	1	3536.61	0
3.841	1	1	1	9794.74	0
3.881	1	1	1	19190.2	0
3.921	1	1	1	20238.6	0
3.961	1	1	1	20293.2	0
4.001	1	1	1	2055.18	0
4.041	1	1	1	968.224	0
4.081	1	1	1	2427.4	0
4.121	1	1	1	2721.7	0
4.161	1	1	1	5771.78	0
4.201	1	1	1	14075.3	0
4.241	1	1	1	7617.7	0
4.281	1	1	1	21717.8	0
4.321	1	1	1	9260.16	0
4.361	1	1	1	7952.61	0
4.401	1	1	1	5715.11	0
4.441	1	1	1	6256.35	0
4.481	1	1	1	8252.61	0
4.521	1	1	1	7120.64	0
4.561	1	1	1	10050.2	0
4.601	1	1	1	6036.9	0
4.641	1	1	1	5878.46	0
4.681	1	1	1	10471.6	0
4.721	1	1	1	8518.5	0
4.761	1	1	1	8188.92	0
4.801	1	1	1	12021.1	0
4.841	1	1	1	15474.6	0
4.881	1	1	1	9877.96	0
4.921	1	1	1	3413.93	0
4.961	1	1	1	2797.07	0
5.001	1	1	1	5806.79	0
5.041	1	1	1	11744	0
5.081	1	1	1	32945.2	0
5.121	1	1	1	30317.4	0
5.161	1	1	1	7878.15	0
5.201	1	1	1	4563.78	0
5.241	1	1	1	8233.03	0
5.281	1	1	1	6361.85	0
5.321	1	1	1	5361.82	0
5.361	1	1	1	3340.07	0
5.401	1	1	1	1390.52	0
5.441	1	1	1	3088.67	0
5.481	1	1	1	3077.32	0
5.521	1	1	1	2184.35	0
5.561	1	1	1	3402.07	0
5.601	1	1	1	6172.92	0
5.641	1	1	1	11834.8	0
5.681	1	1	1	11121.3	0
5.721	1	1	1	4378.53	0
5.761	1	1	1	5634.81	0
5.801	1	1	1	3283.22	0
5.841	1	1	1	666.134	0
5.881	1	1	1	1176.23	0
5.921	1	1	1	5544.92	0
5.961	1	1	1	18294.9	0
6.001	1	1	1	6725.4	0
6.041	1	1	1	27162.1	0
6.081	1	1	1	10400.4	0
6.121	1	1	1	4620.88	0
6.161	1	1	1	10224.7	0
6.201	1	1	1	12583.2	0
6.241	1	1	1	3810.25	0
6.281	1	1	1	17523.8	0
6.321	1	1	1	13386.7	0
6.361	1	1	1	2604.09	0
6.401	1	1	1	7858.03	0
6.441	1	1	1	14672.4	0
6.481	1	1	1	11359.4	0
6.521	1	1	1	5985.47	0
6.561	1	1	1	13060.4	0
6.601	1	1	1	3349.13	0
6.641	1	1	1	1241.01	0
6.681	1	1	1	1197.44	0
6.721	1	1	1	1446.78	0
6.761	1	1	1	1743.03	0
6.801	1	1	1	4775.15	0
6.841	1	1	1	9055.23	0
6.881	1	1	1	23907	0
6.921	1	1	1	13837.6	0
6.961	1	1	1	15180.5	0
7.001	1	1	1	14641.5	0
7.041	1	1	1	2804.49	0
7.081	1	1	1	5335.47	0
7.121	1	1	1	10171.5	0
7.161	1	1	1	3823.83	0
7.201	1	1	1	7323.37	0
7.241	1	1	1	9422.62	0
7.281	1	1	1	2081.11	0
7.321	1	1	1	2733.73	0
7.361	1	1	1	4672.8	0
7.401	1	1	1	7335.96	0
7.441	1	1	1	6977.7	0
7.481	1	1	1	15354.3	0
7.521	1	1	1	3024.38	0
7.561	1	1	1	1891.28	0
7.601	1	1	1	6685.51	0
7.641	1	1	1	5435.56	0
7.681	1	1	1	4270.57	0
7.721	1	1	1	11498.1	0
7.761	1	1	1	14433.2	0
7.801	1	1	1	8238.13	0
7.841	1	1	1	3147.19	0
7.881	1	1	1	3390.82	0
7.921	1	1	1	6626.66	0
7.961	1	1	1	9379.72	0
8.001	1	1	1	6601.32	0
8.041	1	1	1	20103	0
8.081	1	1	1	8284.48	0
8.121	1	1	1	8635.82	0
8.161	1	1	1	15199.3	0
8.201	1	1	1	8157.81	0
8.241	1	1	1	4471.81	0
8.281	1	1	1	2706.44	0
8.321	1	1	1	1084.6	0
8.361	1	1	1	2099.79	0
8.401	1	1	1	3656.18	0
8.441	1	1	1	6380.02	0
8.481	1	1	1	5454.2	0
8.521	1	1	1	3092.17	0
8.561	1	1	1	11533.7	0
8.601	1	1	1	11872	0
8.641	1	1	1	11517.2	0
8.681	1	1	1	10943	0
8.721	1	1	1	3468.66	0
8.761	1	1	1	3252.77	0
8.801	1	1	1	8558.87	0
8.841	1	1	1	3511.4	0
8.881	1	1	1	6698.18	0
8.921	1	1	1	17301.2	0
8.961	1	1	1	10179.6	0
9.001	1	1	1	2173.23	0
9.041	1	1	1	854.988	0
9.081	1	1	1	425.072	0
9.121	1	1	1	10324.4	0
9.161	1	1	1	3716.78	0
9.201	1	1	1	2790.17	0
9.241	1	1	1	11740.9	0
9.281	1	1	1	5344.04	0
9.321	1	1	1	27511.2	0
9.361	1	1	1	2323.96	0
9.401	1	1	1	2336.3	0
9.441	1	1	1	12791.1	0
9.481	1	1	1	3564.19	0
9.521	1	1	1	5694.22	0
9.561	1	1	1	8553	0
9.601	1	1	1	3145.95	0
9.641	1	1	1	5033.63	0
9.681	1	1	1	3445.21	0
9.721	1	1	1	3197.84	0
9.761	1	1	1	9694.39	0
9.801	1	1	1	2863.09	0
9.841	1	1	1	3822.48	0
9.881	1	1	1	10815	0
9.921	1	1	1	11067.9	0
9.961	1	1	1	17184	0
