% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.513	1	1	52	4	1	28	2196	0	0	0
0.798	1	1	80	9	1	28	2196	0	0	0
1.23	1	1	124	1	1	28	2196	0	0	0
1.551	1	1	156	2	1	28	2196	0	0	0
1.872	1	1	188	3	1	28	2196	0	0	0
2.067	1	1	207	8	1	28	2196	0	0	0
2.356	1	1	236	7	1	28	2196	0	0	0
2.803	1	1	281	4	1	28	2196	0	0	0
3.429	1	1	343	10	1	28	2196	0	0	0
3.696	1	1	370	7	1	28	2196	0	0	0
3.737	1	1	374	8	1	28	2196	0	0	0
4.842	1	1	485	3	1	28	2196	0	0	0
5.576	1	1	558	7	1	28	2196	0	0	0
5.738	1	1	574	9	1	28	2196	0	0	0
6.692	1	1	670	3	1	28	2196	0	0	0
7.467	1	1	747	8	1	28	2196	0	0	0
7.633	1	1	764	4	1	28	2196	0	0	0
8.383	1	1	839	4	1	28	2196	0	0	0
8.693	1	1	870	4	1	28	2196	0	0	0
9.421	1	1	943	2	1	28	2196	0	0	0
9.738	1	1	974	9	1	28	2196	0	0	0
