% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	1.00893e-08	2.12701e+07	0
0.00121428	1	1	0	1.45493e-08	3.14691e+07	0
0.00221428	1	1	0	1.43638e-08	3.10643e+07	0
0.00321428	1	1	0	1.41723e-08	3.0647e+07	0
0.00421428	1	1	0	1.39716e-08	3.02107e+07	0
0.00521428	1	1	0	1.37615e-08	2.97551e+07	0
0.00621428	1	1	0	1.35477e-08	2.92918e+07	0
0.00721428	1	1	0	1.33218e-08	2.88032e+07	0
0.00821428	1	1	0	1.30972e-08	2.8318e+07	0
0.00921428	1	1	0	1.2858e-08	2.78024e+07	0
0.0102143	1	1	0	1.26252e-08	2.73006e+07	0
0.0112143	1	1	0	1.23759e-08	2.67644e+07	0
0.0122143	1	1	0	1.21342e-08	2.62449e+07	0
0.0132143	1	1	0	1.18811e-08	2.57014e+07	0
0.0142143	1	1	0	1.16338e-08	2.51711e+07	0
0.0152143	1	1	0	1.13815e-08	2.46303e+07	0
0.0162143	1	1	0	1.11326e-08	2.40973e+07	0
0.0172143	1	1	0	1.08824e-08	2.35619e+07	0
0.0182143	1	1	0	1.06338e-08	2.30303e+07	0
0.0192143	1	1	0	1.03884e-08	2.25062e+07	0
0.0202143	1	1	0	1.01434e-08	2.19829e+07	0
0.0212143	1	1	1	9.90572e-09	2.14759e+07	0
0.0222143	1	1	1	9.66735e-09	2.09676e+07	0
0.0232143	1	1	1	9.4402e-09	2.04835e+07	0
0.0242143	1	1	1	9.21169e-09	1.99968e+07	0
0.0252143	1	1	1	8.99671e-09	1.95392e+07	0
0.0262143	1	1	1	8.78219e-09	1.90827e+07	0
0.0272143	1	1	1	8.5811e-09	1.86551e+07	0
0.0282143	1	1	1	8.38443e-09	1.8237e+07	0
0.0292143	1	1	1	8.20009e-09	1.78454e+07	0
0.0302143	1	1	1	8.02368e-09	1.74707e+07	0
0.0312143	1	1	1	7.85875e-09	1.71206e+07	0
0.0322143	1	1	1	7.70484e-09	1.67939e+07	0
0.0332143	1	1	1	7.56203e-09	1.64909e+07	0
0.0342143	1	1	1	7.43309e-09	1.62175e+07	0
0.0352143	1	1	1	7.31436e-09	1.59657e+07	0
0.0362143	1	1	1	7.2116e-09	1.5748e+07	0
0.0372143	1	1	1	7.11848e-09	1.55506e+07	0
0.0382143	1	1	1	7.04321e-09	1.53913e+07	0
0.0392143	1	1	1	6.97712e-09	1.52511e+07	0
0.0402143	1	1	1	6.92917e-09	1.51496e+07	0
0.0412143	1	1	1	6.89233e-09	1.50715e+07	0
0.0422143	1	1	1	6.87251e-09	1.50295e+07	0
0.0432143	1	1	1	6.86541e-09	1.50143e+07	0
0.0442143	1	1	1	6.87411e-09	1.50326e+07	0
0.0452143	1	1	1	6.8969e-09	1.50807e+07	0
0.0462143	1	1	1	6.93408e-09	1.51591e+07	0
0.0472143	1	1	1	6.98653e-09	1.52699e+07	0
0.0482143	1	1	1	7.05174e-09	1.54075e+07	0
0.0492143	1	1	1	7.13327e-09	1.55797e+07	0
0.0502143	1	1	1	7.2256e-09	1.57744e+07	0
0.0512143	1	1	1	7.33527e-09	1.60061e+07	0
0.0522143	1	1	1	7.45405e-09	1.62567e+07	0
0.0532143	1	1	1	7.59023e-09	1.65443e+07	0
0.0542143	1	1	1	7.73409e-09	1.68478e+07	0
0.0552143	1	1	1	7.89358e-09	1.71846e+07	0
0.0562143	1	1	1	8.0611e-09	1.75381e+07	0
0.0572143	1	1	1	8.24158e-09	1.79191e+07	0
0.0582143	1	1	1	8.43053e-09	1.83179e+07	0
0.0592143	1	1	1	8.62934e-09	1.87375e+07	0
0.0602143	1	1	1	8.83724e-09	1.91764e+07	0
0.0612143	1	1	1	9.05143e-09	1.96285e+07	0
0.0622143	1	1	1	9.27559e-09	2.01018e+07	0
0.0632143	1	1	1	9.50194e-09	2.05796e+07	0
0.0642143	1	1	1	9.73947e-09	2.10812e+07	0
0.0652143	1	1	1	9.9746e-09	2.15777e+07	0
0.0662143	1	1	1	1.02218e-08	2.21e+07	0
0.0672143	1	1	1	1.04628e-08	2.26088e+07	0
0.0682143	1	1	1	1.07141e-08	2.31398e+07	0
0.0692143	1	1	1	1.09597e-08	2.36588e+07	0
0.0702143	1	1	1	1.12117e-08	2.41915e+07	0
